REG	2012-01	5085795
EXE	2013-01	865486
REG	2013-01	9401650
EXE	2014-01	1016995
REG	2014-01	10192024
EXE	2015-01	1117316
REG	2015-01	10800107
REG	2011-01	1545311
EXE	2017-01	1297043
REG	2017-01	11348586
REG	2010-01	1665254
EXE	2016-01	1196827
REG	2016-01	11256727
REG	2009-01	832718
REG	2008-01	718864
REG	2008-02	722768
REG	2010-02	1676383
REG	2011-02	1738032
EXE	2012-02	48769
REG	2012-02	5104132
EXE	2013-02	874203
REG	2013-02	9411728
EXE	2016-02	1198538
REG	2016-02	11145375
EXE	2017-02	1315171
REG	2017-02	11421409
REG	2009-02	833702
EXE	2015-02	1110676
REG	2015-02	10912048
EXE	2014-02	1019305
REG	2014-02	10295847
REG	2010-03	1685363
REG	2011-03	1538956
EXE	2012-03	52459
REG	2012-03	5138368
EXE	2013-03	882262
REG	2013-03	9309396
EXE	2016-03	1208238
REG	2016-03	11169679
EXE	2017-03	1322787
REG	2017-03	11448565
REG	2009-03	780903
EXE	2015-03	1140995
REG	2015-03	10927812
REG	2008-03	729842
EXE	2014-03	1034629
REG	2014-03	10324311
REG	2008-04	732176
REG	2009-04	804630
REG	2010-04	1688494
REG	2011-04	1712199
EXE	2012-04	638158
REG	2012-04	8560295
EXE	2013-04	892291
REG	2013-04	9308998
EXE	2014-04	1034316
REG	2014-04	10445054
EXE	2015-04	1144570
REG	2015-04	10935047
EXE	2016-04	1230089
REG	2016-04	11145550
EXE	2017-04	1333382
REG	2017-04	11467842
REG	2009-05	798650
REG	2011-05	1567111
EXE	2012-05	736036
REG	2012-05	9711432
EXE	2013-05	903490
REG	2013-05	9364810
EXE	2014-05	1041226
REG	2014-05	10484682
EXE	2015-05	1165990
REG	2015-05	11015142
EXE	2017-05	1353119
REG	2017-05	11559371
EXE	2016-05	1272155
REG	2016-05	11176009
REG	2010-05	1694628
REG	2007-05	696384
REG	2009-06	768370
REG	2011-06	1569616
EXE	2012-06	753625
REG	2012-06	10826962
EXE	2015-06	1155477
REG	2015-06	10965604
EXE	2016-06	1286944
REG	2016-06	11382130
EXE	2017-06	1363030
REG	2017-06	11595663
REG	2008-06	741655
REG	2010-06	1848179
EXE	2014-06	1050671
REG	2014-06	10554683
EXE	2013-06	947283
REG	2013-06	9398785
REG	2006-06	691312
EXE	2017-06	1369718
REG	2017-06	11636889
REG	2008-07	745003
REG	2009-07	811103
REG	2010-07	1857983
REG	2011-07	1651572
EXE	2013-07	944336
REG	2013-07	9452003
EXE	2014-07	1049092
REG	2014-07	10627131
EXE	2015-07	1125219
REG	2015-07	11124879
EXE	2016-07	1268356
REG	2016-07	11414337
EXE	2012-07	787334
REG	2012-07	10235751
