296761	1103565
162440	2182382
106969	937777
286208	2352688
298203	1242425
281190	1679058
105729	924464
309604	1195928
312837	1962665
321161	1154670
115559	944864
313055	921154
309512	967500
335042	978057
171982	3543728
157964	1401750
329416	1575459
39805	1788105
335102	1010411
332429	3347826
325059	360687
113246	4139208
298964	4367646
166679	926020
162759	5864329
285215	590796
168009	924504
165311	974763
144473	1363005
290614	864901
158147	1210592
131558	1002940
284310	3055204
337537	872566
139562	878078
121168	2164769
311282	1409591
155642	1781741
306208	930115
110640	931357
291835	927546
289793	485008
105404	4710276
162791	19435818
