338183	869692	2	1	RIA
328980	926834	2	2	RIA
333798	1241483	2	10	RIA
110091	1711092	11	1	RIA
338938	913147	125	1	RIA
338359	920519	190	4	RIA
309653	1056693	451470896	12	RIA
142238	1530331	451562514	5	RIA
308187	2419770	451795846	5	RIA
158020	921439	452024625	6	RIA
291029	931701	452114214	7	RIA
332699	887825	452160346	5	RIA
104559	48545344	3666935101247	1968	RIA
110885	2079337	3753542800892	1417	RIA
105247	14008205	4282224366957	128	RIA
108281	5509287	5685041930529	1427	RIA
338002	6605214	8436181597982	235	RIA
105958	8020228	11092665107962	1702	RIA
306995	1447738	None	None	ERA
338509	2911497	None	None	ERA
312543	2550920	None	None	ERA
297458	532171	None	None	ERA
112239	871175	114079809	1	RIA
287509	925519	136172994	6	RIA
310156	1020150	157960513	2	RIA
326828	2694819	1359925253	14	RIA
150964	1462179	122540706	3	RIA
